Address,Price,Type,Size,Bedrooms,Bathrooms
"Gemayzeh, Beirut
                    , Beirut","$280,000",Apartment,160 m²,2,2
"Zaarour, El Metn
                    , Mount Lebanon","$365,000",Chalet,110 m²,3,2
"Hboub, Jbeil
                    , Mount Lebanon","$155,000",Apartment,160 m²,3,3
"Paris 4ème, Paris 4ème
                    , France","€730,000",Apartment,42 m²,1,1
"Paris 1er, Paris 1er
                    , France","€720,000",Apartment,42 m²,1,1
"Dekweneh, El Metn
                    , Mount Lebanon","$325,000",Apartment,300 m²,3,3
"Gherfine, Jbeil
                    , Mount Lebanon","$645,000",Land,432 m²,N/A,N/A
"Fakra, Kesrouane
                    , Mount Lebanon","$880,000",Chalet,190 m²,3,3
"Baabdat, El Metn
                    , Mount Lebanon","$235,000",Land,300 m²,N/A,N/A
"Baabdat, El Metn
                    , Mount Lebanon","$340,000",Land,900 m²,N/A,N/A
"Gemayzeh, Beirut
                    , Beirut","$1,100,000",Apartment,310 m²,4,5
"Paris 16ème, Paris 16ème
                    , France","€1,300,000",Apartment,117 m²,3,1
"Rawche, Beirut
                    , Beirut","$3,500,000",Apartment,535 m²,4,5
"Laqlouq, Jbeil
                    , Mount Lebanon","$165,000",Land,005 m²,N/A,N/A
"Adma, Kesrouane
                    , Mount Lebanon","$310,000",Apartment,200 m²,2,3
"Aamchit, Jbeil
                    , Mount Lebanon","$110,000",Apartment,150 m²,3,2
"Blat, Jbeil
                    , Mount Lebanon","$160,000",Apartment,248 m²,3,4
"Blat, Jbeil
                    , Mount Lebanon","$175,000",Apartment,248 m²,3,4
"Achkout, Kesrouane
                    , Mount Lebanon","$150,000",Apartment,170 m²,2,1
"Ghadir, Kesrouane
                    , Mount Lebanon","$185,000",Apartment,170 m²,3,3
"Baabda, Baabda
                    , Mount Lebanon","$360,000",Apartment,180 m²,3,4
"Baabda, Baabda
                    , Mount Lebanon","$450,000",Apartment,225 m²,3,4
"Sahel Alma, Kesrouane
                    , Mount Lebanon","$420,000",Apartment,262 m²,3,3
"Mansourieh, El Metn
                    , Mount Lebanon","$79,000",Apartment,80 m²,2,2
"Mar Mikhael, Beirut
                    , Beirut","$210,000",Apartment,140 m²,2,1
"Achrafieh, Beirut
                    , Beirut","$2,000,000",Office,550 m²,4,N/A
"Shayle, Kesrouane
                    , Mount Lebanon","$266,000",Apartment,200 m²,3,4
"Shayle, Kesrouane
                    , Mount Lebanon","$359,000",Apartment,200 m²,3,3
"Achrafieh, Beirut
                    , Beirut","$505,000",Apartment,230 m²,3,3
"Jdeideh, El Metn
                    , Mount Lebanon","$650,000",Warehouse,000 m²,1,N/A
"Paris 17ème, Paris 17ème
                    , France","€1,995,000",Apartment,126 m²,4,3
"Faraya, Kesrouane
                    , Mount Lebanon","$75,000",Chalet,55 m²,1,1
"Kaslik, Kesrouane
                    , Mount Lebanon","$350,000",Office,163 m²,2,N/A
"Kaslik, Kesrouane
                    , Mount Lebanon","$195,000",Shop,55 m²,1,N/A
"Qannabet Broumana, El Metn
                    , Mount Lebanon","$235,000",Apartment,150 m²,3,3
"Bsalim, El Metn
                    , Mount Lebanon","$230,000",Apartment,145 m²,3,3
"Jbeil, Jbeil
                    , Mount Lebanon","$200,000",Apartment,240 m²,3,2
"Bsalim, El Metn
                    , Mount Lebanon","$165,000",Apartment,140 m²,3,3
"Dahr El Sawan, El Metn
                    , Mount Lebanon","$250,000",Apartment,160 m²,3,3
"Achrafieh, Beirut
                    , Beirut","$245,000",Apartment,125 m²,2,2
"Gherfine, Jbeil
                    , Mount Lebanon","$120,000",Apartment,110 m²,2,2
"Achrafieh, Beirut
                    , Beirut","$310,000",Apartment,175 m²,3,2
"Sahel Alma, Kesrouane
                    , Mount Lebanon","$415,000",Apartment,259 m²,3,3
"Sahel Alma, Kesrouane
                    , Mount Lebanon","$400,000",Apartment,262 m²,3,3
"Sahel Alma, Kesrouane
                    , Mount Lebanon","$630,000",Apartment,262 m²,4,4
"Sahel Alma, Kesrouane
                    , Mount Lebanon","$400,000",Apartment,253 m²,3,3
"Sahel Alma, Kesrouane
                    , Mount Lebanon","$565,000",Apartment,396 m²,4,4
"Ouyoun Al Simen, Kesrouane
                    , Mount Lebanon","$300,000",Chalet,100 m²,2,1
"chnaniir, Kesrouane
                    , Mount Lebanon","$1,000,000",House/Villa,450 m²,3,4
"Baabdat, El Metn
                    , Mount Lebanon","$350,000",Apartment,165 m²,3,3
"Jbeil, Jbeil
                    , Mount Lebanon","$265,000",Office,110 m²,2,N/A
"Sioufi, Beirut
                    , Beirut","$360,000",Apartment,140 m²,2,2
"Sioufi, Beirut
                    , Beirut","$415,000",Apartment,300 m²,2,2
"Ras Beirut, Beirut
                    , Beirut","$190,000",Apartment,110 m²,2,3
"Bsalim, El Metn
                    , Mount Lebanon","$285,000",Apartment,165 m²,3,3
"Adma, Kesrouane
                    , Mount Lebanon","$195,000",Apartment,150 m²,2,3
"Kfar Aaqab, El Metn
                    , Mount Lebanon","$925,000",Land,156 m²,N/A,N/A
"Achrafieh, Beirut
                    , Beirut","$310,000",Apartment,106 m²,2,2
"Paris 16ème, Paris 16ème
                    , France","€950,000",Apartment,84 m²,1,1
"Blat, Jbeil
                    , Mount Lebanon","$330,000",Apartment,240 m²,3,4
"Blat, Jbeil
                    , Mount Lebanon","$450,000",Apartment,340 m²,4,6
"Blat, Jbeil
                    , Mount Lebanon","$240,000",Apartment,180 m²,3,4
"Mansourieh, El Metn
                    , Mount Lebanon","$390,000",Apartment,220 m²,3,4
"Adma, Kesrouane
                    , Mount Lebanon","$1,200,000",Apartment,580 m²,4,7
"Fidar, Jbeil
                    , Mount Lebanon","$250,000",Land,200 m²,N/A,N/A
"Aintoura, El Metn
                    , Mount Lebanon","$319,000",Land,306 m²,N/A,N/A
"Fidar, Jbeil
                    , Mount Lebanon","$12,000,000",Commercial Building,000 m²,N/A,N/A
"Jbeil, Jbeil
                    , Mount Lebanon","$150,000",Apartment,106 m²,2,2
"Achkout, Kesrouane
                    , Mount Lebanon","$600,000",Land,200 m²,N/A,N/A
"Achrafieh, Beirut
                    , Beirut","$950,000",Apartment,350 m²,4,4
"Mazraat Yachouh, El Metn
                    , Mount Lebanon","$2,800,000",Commercial Building,714 m²,N/A,N/A
"Ras Beirut, Beirut
                    , Beirut","$2,200,000",Apartment,550 m²,4,4
"Ras Beirut, Beirut
                    , Beirut","$1,300,000",Apartment,550 m²,4,4
"Aamchit, Jbeil
                    , Mount Lebanon","$165,000",Apartment,150 m²,3,3
"Mechmech, Jbeil
                    , Mount Lebanon","$250,000",House/Villa,300 m²,4,3
"Klayaat, Kesrouane
                    , Mount Lebanon","$320,000",Land,420 m²,N/A,N/A
"Badaro, Beirut
                    , Beirut","$1,000,000",Apartment,400 m²,3,4
"Achrafieh, Beirut
                    , Beirut","$275,000",Apartment,130 m²,2,2
"Badaro, Beirut
                    , Beirut","$650,000",Office,200 m²,4,N/A
"New Mar Takla, Baabda
                    , Mount Lebanon","$495,000",Apartment,265 m²,3,4
"Mansourieh, El Metn
                    , Mount Lebanon","$225,000",Apartment,200 m²,3,5
"Achrafieh, Beirut
                    , Beirut","$900,000",Office,300 m²,4,N/A
"Dekweneh, El Metn
                    , Mount Lebanon","$205,000",Apartment,160 m²,3,3
"Paris 16ème, Paris 16ème
                    , France","€520,000",Apartment,53 m²,1,1
"Mansourieh, El Metn
                    , Mount Lebanon","$107,000",Apartment,100 m²,2,2
"Down Town, Beirut
                    , Beirut","$700,000",Shop,120 m²,1,N/A
"Broumana, El Metn
                    , Mount Lebanon","$850,000",Land,850 m²,N/A,N/A
"Mansourieh, El Metn
                    , Mount Lebanon","$235,000",Apartment,170 m²,3,4
"New Rawda, El Metn
                    , Mount Lebanon","$96,000",Apartment,100 m²,2,2
"Paris 15ème, Paris 15ème
                    , France","€665,000",Apartment,60 m²,2,1
"Jbeil, Jbeil
                    , Mount Lebanon","$450,000",Land,600 m²,N/A,N/A
"Jbeil, Jbeil
                    , Mount Lebanon","$495,000",Apartment,310 m²,4,5
"Zaarour, El Metn
                    , Mount Lebanon","$325,000",Chalet,140 m²,2,2
"Ain Al Remmane, Baabda
                    , Mount Lebanon","$130,000",Apartment,150 m²,3,2
"Zikrit, El Metn
                    , Mount Lebanon","$180,000",Apartment,160 m²,3,2
"Ras Beirut, Beirut
                    , Beirut","$700,000",Apartment,200 m²,3,3
"Mar Mikhael, Beirut
                    , Beirut","$375,000",Apartment,135 m²,3,2
"Paris 16ème, Paris 16ème
                    , France","€1,890,000",Apartment,130 m²,3,2
"Paris 17ème, Paris 17ème
                    , France","€1,390,000",Apartment,106 m²,3,2
"Blat, Jbeil
                    , Mount Lebanon","$175,000",Apartment,200 m²,3,4
"Ras Beirut, Beirut
                    , Beirut","$2,200,000",Apartment,660 m²,5,5
"Haret Sakher, Kesrouane
                    , Mount Lebanon","$188,000",Apartment,205 m²,3,2
"Ballouneh, Kesrouane
                    , Mount Lebanon","$220,000",Apartment,300 m²,4,4
"Paris 16ème, Paris 16ème
                    , France","€930,000",Apartment,64 m²,2,1
"Achrafieh, Beirut
                    , Beirut","$550,000",Apartment,140 m²,2,3
"Ain Al Remmane, Baabda
                    , Mount Lebanon","$150,000",Apartment,230 m²,3,2
"Mtayleb, El Metn
                    , Mount Lebanon","$475,000",Apartment,300 m²,5,5
"Ras Beirut, Beirut
                    , Beirut","$700,000",Apartment,250 m²,3,3
"Rabieh, El Metn
                    , Mount Lebanon","$850,000",Apartment,450 m²,4,4
"Ras Beirut, Beirut
                    , Beirut","$2,500,000",Apartment,475 m²,4,5
"Baabda, Baabda
                    , Mount Lebanon","$650,000",Warehouse,900 m²,2,N/A
"Badaro, Beirut
                    , Beirut","$850,000",Apartment,235 m²,3,3
"Adma, Kesrouane
                    , Mount Lebanon","$220,000",Apartment,160 m²,3,3
"Ain El Rihani, Kesrouane
                    , Mount Lebanon","$600,000",Land,008 m²,N/A,N/A
"Ouyoun Al Simen, Kesrouane
                    , Mount Lebanon","$350,000",Chalet,140 m²,2,3
"Mar Moussa, El Metn
                    , Mount Lebanon","$306,000",Apartment,290 m²,3,4
"Mar Moussa, El Metn
                    , Mount Lebanon","$160,000",Apartment,140 m²,2,2
"Fatqa, Kesrouane
                    , Mount Lebanon","$180,000",Apartment,150 m²,2,2
"Beit Meri, El Metn
                    , Mount Lebanon","$98,000",Apartment,45 m²,1,1
"Mansourieh, El Metn
                    , Mount Lebanon","$5,000,000",Land,000 m²,N/A,N/A
"Sin El Fil, El Metn
                    , Mount Lebanon","$220,000",Office,200 m²,2,N/A
"Baskinta, El Metn
                    , Mount Lebanon","$200,000",Land,115 m²,N/A,N/A
"New Mar Takla, Baabda
                    , Mount Lebanon","$360,000",Apartment,230 m²,3,4
"Baabdat, El Metn
                    , Mount Lebanon","$250,000",Apartment,140 m²,3,3
"Zabougha, El Metn
                    , Mount Lebanon","$200,000",Land,584 m²,N/A,N/A
"Haret Sakher, Kesrouane
                    , Mount Lebanon","$150,000",Apartment,150 m²,3,2
"Haret Sakher, Kesrouane
                    , Mount Lebanon","$360,000",Apartment,350 m²,4,4
"Paris 16ème, Paris 16ème
                    , France","€726,000",Apartment,52 m²,1,1
"Mansourieh, El Metn
                    , Mount Lebanon","$265,000",Apartment,175 m²,3,3
"Baabda, Baabda
                    , Mount Lebanon","$425,000",Apartment,350 m²,3,4
"Achrafieh, Beirut
                    , Beirut","$650,000",Apartment,250 m²,3,3
"Daroun Harissa, Kesrouane
                    , Mount Lebanon","$840,000",Land,200 m²,N/A,N/A
"Paris 16ème, Paris 16ème
                    , France","€1,500,000",Apartment,110 m²,2,2
"Sahel Alma, Kesrouane
                    , Mount Lebanon","$300,000",Apartment,205 m²,3,2
"Paris 16ème, Paris 16ème
                    , France","€1,380,000",Apartment,92 m²,2,2
"Horsh Tabet, El Metn
                    , Mount Lebanon","$5,000,000",Residential Building,910 m²,N/A,N/A
"Horsh Tabet, El Metn
                    , Mount Lebanon","$495,000",Apartment,246 m²,3,3
"Achrafieh, Beirut
                    , Beirut","$470,000",Apartment,160 m²,3,2
"Tilal Ain Saade, El Metn
                    , Mount Lebanon","$200,000",Apartment,150 m²,3,3
"Mansourieh, El Metn
                    , Mount Lebanon","$107,000",Apartment,120 m²,2,2
"Achrafieh, Beirut
                    , Beirut","$500,000",Apartment,130 m²,2,2
"Aoukar, El Metn
                    , Mount Lebanon","$375,000",Apartment,260 m²,3,5
"Batroun, Batroun
                    , North","$350,000",House/Villa,255 m²,4,4
"Achrafieh, Beirut
                    , Beirut","$575,000",Apartment,174 m²,3,3
"Aoukar, El Metn
                    , Mount Lebanon","$170,000",Apartment,110 m²,2,2
"Paris 15ème, Paris 15ème
                    , France","€1,390,000",Apartment,111 m²,3,2
"Achrafieh, Beirut
                    , Beirut","$2,520,000",Land,336 m²,N/A,N/A
"Achrafieh, Beirut
                    , Beirut","$900,000",Apartment,350 m²,4,3
"Bouchrieh, El Metn
                    , Mount Lebanon","$155,000",Apartment,160 m²,3,1
"Mansourieh, El Metn
                    , Mount Lebanon","$120,000",Apartment,110 m²,2,2
"Bsalim, El Metn
                    , Mount Lebanon","$820,000",Land,914 m²,N/A,N/A
"Bsalim, El Metn
                    , Mount Lebanon","$1,140,000",Land,200 m²,N/A,N/A
"Jbeil, Jbeil
                    , Mount Lebanon","$150,000",Apartment,120 m²,2,2
"Bsalim, El Metn
                    , Mount Lebanon","$350,000",Apartment,230 m²,3,4
"Gemayzeh, Beirut
                    , Beirut","$380,000",Office,125 m²,1,N/A
"Ras Beirut, Beirut
                    , Beirut","$750,000",Apartment,215 m²,3,3
"Jdeideh, El Metn
                    , Mount Lebanon","$200,000",Apartment,130 m²,2,2
"Paris 16ème, Paris 16ème
                    , France","€590,000",Apartment,53 m²,1,1
"Batroun, Batroun
                    , North","$235,000",Land,947 m²,N/A,N/A
"Ras Beirut, Beirut
                    , Beirut","$850,000",Apartment,231 m²,3,3
"Achrafieh, Beirut
                    , Beirut","$2,600,000",Apartment,500 m²,4,5
"Achrafieh, Beirut
                    , Beirut","$450,000",Apartment,300 m²,3,3
"Qornet El Hamra, El Metn
                    , Mount Lebanon","$3,000,000",House/Villa,200 m²,6,8
"Kfarzebian, Kesrouane
                    , Mount Lebanon","$600,000",Land,694 m²,N/A,N/A
"Achrafieh, Beirut
                    , Beirut","$980,000",Apartment,145 m²,2,2
"Jbeil, Jbeil
                    , Mount Lebanon","$90,000",Apartment,230 m²,3,2
"Jbeil, Jbeil
                    , Mount Lebanon","$75,000",Apartment,110 m²,2,2
"Faytroun, Kesrouane
                    , Mount Lebanon","$110,000",Chalet,75 m²,2,2
"Achrafieh, Beirut
                    , Beirut","$250,000",Apartment,200 m²,3,3
"Beit el Chaar, El Metn
                    , Mount Lebanon","$115,000",Apartment,125 m²,2,2
"Paris 17ème, Paris 17ème
                    , France","€715,000",Apartment,85 m²,2,1
"Paris 17ème, Paris 17ème
                    , France","€916,000",Apartment,82 m²,2,1
"Horsh Tabet, El Metn
                    , Mount Lebanon","$260,000",Shop,99 m²,1,N/A
"Jbeil, Jbeil
                    , Mount Lebanon","$900,000",Apartment,125 m²,1,2
"Fatqa, Kesrouane
                    , Mount Lebanon","$175,000",Apartment,150 m²,2,2
"Laqlouq, Jbeil
                    , Mount Lebanon","$354,000",Land,951 m²,N/A,N/A
"Laqlouq, Jbeil
                    , Mount Lebanon","$101,000",Land,012 m²,N/A,N/A
"Hboub, Jbeil
                    , Mount Lebanon","$450,000",Land,400 m²,N/A,N/A
"Batroun, Batroun
                    , North","$400,000",Apartment,175 m²,2,3
"Adma, Kesrouane
                    , Mount Lebanon","$520,000",Apartment,280 m²,3,5
"Paris 16ème, Paris 16ème
                    , France","€1,790,000",Apartment,143 m²,4,2
"Paris 16ème, Paris 16ème
                    , France","€1,590,000",Apartment,136 m²,3,2
"Jbeil, Jbeil
                    , Mount Lebanon","$110,000",Office,120 m²,1,N/A
"Faytroun, Kesrouane
                    , Mount Lebanon","$145,000",Apartment,220 m²,3,3
"Haret Sakher, Kesrouane
                    , Mount Lebanon","$215,000",Apartment,240 m²,3,3
"Sahel Alma, Kesrouane
                    , Mount Lebanon","$180,000",Apartment,200 m²,3,3
"Achrafieh, Beirut
                    , Beirut","$1,550,000",Apartment,500 m²,4,3
"Saifi Village, Beirut
                    , Beirut","$335,000",Shop,130 m²,2,N/A
"Dekweneh, El Metn
                    , Mount Lebanon","$230,000",Apartment,204 m²,3,3
"Dekweneh, El Metn
                    , Mount Lebanon","$220,000",Apartment,186 m²,3,3
"Dekweneh, El Metn
                    , Mount Lebanon","$190,000",Apartment,186 m²,3,3
"Aamchit, Jbeil
                    , Mount Lebanon","$275,000",Apartment,250 m²,3,3
"Fidar, Jbeil
                    , Mount Lebanon","$430,000",Apartment,300 m²,3,5
"Laqlouq, Jbeil
                    , Mount Lebanon","$80,000",Land,090 m²,N/A,N/A
"Ain Najem, El Metn
                    , Mount Lebanon","$260,000",Apartment,200 m²,3,4
"Khenchara, El Metn
                    , Mount Lebanon","$1,000,000",House/Villa,000 m²,3,5
"Fanar, El Metn
                    , Mount Lebanon","$260,000",Apartment,175 m²,3,3
"Haret Sakher, Kesrouane
                    , Mount Lebanon","$245,000",Apartment,145 m²,3,3
"Haret Sakher, Kesrouane
                    , Mount Lebanon","$265,000",Apartment,165 m²,3,3
"Ain Al Remmane, Baabda
                    , Mount Lebanon","$270,000",Apartment,320 m²,3,3
"Daraya, Kesrouane
                    , Mount Lebanon","$650,000",House/Villa,400 m²,5,4
"Mar Chaaya, El Metn
                    , Mount Lebanon","$460,000",Apartment,250 m²,3,3
"Kfarzebian, Kesrouane
                    , Mount Lebanon","$600,000",Land,716 m²,N/A,N/A
"Zalka, El Metn
                    , Mount Lebanon","$220,000",Apartment,120 m²,2,2
"Blat, Jbeil
                    , Mount Lebanon","$515,000",Land,720 m²,N/A,N/A
"Paris 16ème, Paris 16ème
                    , France","€400,000",Apartment,31 m²,1,1
"Achrafieh, Beirut
                    , Beirut","$595,000",Apartment,95 m²,1,2
"Kaslik, Kesrouane
                    , Mount Lebanon","$235,000",Chalet,63 m²,2,2
"Gherfine, Jbeil
                    , Mount Lebanon","$775,000",Land,546 m²,N/A,N/A
"Jbeil, Jbeil
                    , Mount Lebanon","$360,000",Apartment,185 m²,3,3
"Wata El Joz, Kesrouane
                    , Mount Lebanon","$335,000",Land,596 m²,N/A,N/A
"Barbara, Jbeil
                    , Mount Lebanon","$105,000",Apartment,100 m²,2,2
"Jal el Dib, El Metn
                    , Mount Lebanon","$1,738,000",Land,790 m²,N/A,N/A
"Jdeideh, El Metn
                    , Mount Lebanon","$200,000",Apartment,150 m²,3,2
"Gherfine, Jbeil
                    , Mount Lebanon","$525,000",Land,500 m²,N/A,N/A
"Jbeil, Jbeil
                    , Mount Lebanon","$120,000",Shop,100 m²,2,N/A
"Qartaboun, Jbeil
                    , Mount Lebanon","$200,000",Land,927 m²,N/A,N/A
"Paris 8ème, Paris 8ème
                    , France","€625,000",Apartment,42 m²,1,1
"Monteverde, El Metn
                    , Mount Lebanon","$400,000",Apartment,220 m²,3,4
"Ras Beirut, Beirut
                    , Beirut","$1,100,000",Apartment,320 m²,4,4
"Ras Beirut, Beirut
                    , Beirut","$700,000",Apartment,300 m²,3,3
"kfarhbeib, Kesrouane
                    , Mount Lebanon","$300,000",Apartment,171 m²,3,3
"Ras Beirut, Beirut
                    , Beirut","$4,300,000",Apartment,500 m²,4,6
"kfarhbeib, Kesrouane
                    , Mount Lebanon","$380,000",Apartment,360 m²,2,3
"Yahchouch, Kesrouane
                    , Mount Lebanon","$550,000",House/Villa,350 m²,3,3
"Aoukar, El Metn
                    , Mount Lebanon","$420,000",House/Villa,450 m²,3,4
"Kfour, Kesrouane
                    , Mount Lebanon","$455,000",Apartment,350 m²,3,3
"Achrafieh, Beirut
                    , Beirut","$185,000",Apartment,135 m²,2,2
"Mansourieh, El Metn
                    , Mount Lebanon","$245,000",Apartment,160 m²,3,4
"Broumana, El Metn
                    , Mount Lebanon","$175,000",Apartment,110 m²,1,1
"Broumana, El Metn
                    , Mount Lebanon","$230,000",Apartment,150 m²,3,3
"Broumana, El Metn
                    , Mount Lebanon","$200,000",Apartment,120 m²,2,2
"Yarzeh, Baabda
                    , Mount Lebanon","$2,750,000",Land,296 m²,N/A,N/A
"Jounieh, Kesrouane
                    , Mount Lebanon","$85,000",Apartment,125 m²,3,2
"Aamchit, Jbeil
                    , Mount Lebanon","$85,000",Office,60 m²,1,N/A
"Paris 16ème, Paris 16ème
                    , France","€640,000",Apartment,54 m²,2,1
"Paris 16ème, Paris 16ème
                    , France","€445,000",Apartment,34 m²,1,1
"Klayaat, Kesrouane
                    , Mount Lebanon","$425,000",Apartment,360 m²,4,4
"Mtayleb, El Metn
                    , Mount Lebanon","$255,000",Apartment,215 m²,3,2
"Zouk Mikael, Kesrouane
                    , Mount Lebanon","$500,000",Apartment,360 m²,3,3
"Badaro, Beirut
                    , Beirut","$450,000",Apartment,240 m²,3,3
"Achrafieh, Beirut
                    , Beirut","$850,000",Apartment,330 m²,3,4
"Sioufi, Beirut
                    , Beirut","$350,000",Apartment,221 m²,3,3
"Achrafieh, Beirut
                    , Beirut","$850,000",Apartment,330 m²,3,4
"Mar Mikhael, Beirut
                    , Beirut","$315,000",Apartment,116 m²,2,2
"Batroun, Batroun
                    , North","$310,000",House/Villa,240 m²,1,1
"Achrafieh, Beirut
                    , Beirut","$1,545,000",Land,441 m²,N/A,N/A
"Adma, Kesrouane
                    , Mount Lebanon","$5,550,000",Land,414 m²,N/A,N/A
"Rabweh, El Metn
                    , Mount Lebanon","$155,000",Apartment,185 m²,3,4
"Batroun, Batroun
                    , North","$180,000",House/Villa,140 m²,2,3
"Achrafieh, Beirut
                    , Beirut","$750,000",Apartment,100 m²,1,2
"Aamchit, Jbeil
                    , Mount Lebanon","$800,000",Land,985 m²,N/A,N/A
"Ghosta, Kesrouane
                    , Mount Lebanon","$220,000",Apartment,180 m²,3,3
"Bouar, Kesrouane
                    , Mount Lebanon","$2,000,000",Land,000 m²,N/A,N/A
"Louaize, Baabda
                    , Mount Lebanon","$850,000",Apartment,400 m²,3,4
"Bouchrieh, El Metn
                    , Mount Lebanon","$120,000",Apartment,100 m²,2,2
"Ras Beirut, Beirut
                    , Beirut","$228,000",Office,60 m²,N/A,N/A
"Qartaboun, Jbeil
                    , Mount Lebanon","$1,250,000",Land,869 m²,N/A,N/A
"Badaro, Beirut
                    , Beirut","$500,000",Apartment,250 m²,4,3
"Ras Beirut, Beirut
                    , Beirut","$1,050,000",Apartment,363 m²,4,4
"Kfour, Kesrouane
                    , Mount Lebanon","$330,000",Land,825 m²,N/A,N/A
"Achrafieh, Beirut
                    , Beirut","$445,000",Apartment,160 m²,2,3
"Batroun, Batroun
                    , North","$120,000",Apartment,165 m²,2,3
"Achrafieh, Beirut
                    , Beirut","$250,000",Office,180 m²,3,2
"Achrafieh, Beirut
                    , Beirut","$310,000",Shop,310 m²,2,N/A
"Achrafieh, Beirut
                    , Beirut","$950,000",Apartment,256 m²,3,4
"Achrafieh, Beirut
                    , Beirut","$400,000",Apartment,120 m²,3,2
"Mar Mikhael, Beirut
                    , Beirut","$600,000",Apartment,280 m²,2,3
"Beit Chabeb, El Metn
                    , Mount Lebanon","$235,000",Apartment,230 m²,3,3
"Ajaltoun, Kesrouane
                    , Mount Lebanon","$350,000",Land,000 m²,N/A,N/A
"Sin El Fil, El Metn
                    , Mount Lebanon","$700,000",Warehouse,175 m²,N/A,N/A
"Sin El Fil, El Metn
                    , Mount Lebanon","$900,000",Warehouse,641 m²,N/A,N/A
"Sin El Fil, El Metn
                    , Mount Lebanon","$100,000",Warehouse,83 m²,1,N/A
"Achrafieh, Beirut
                    , Beirut","$1,050,000",Apartment,325 m²,3,3
"Achrafieh, Beirut
                    , Beirut","$1,100,000",Apartment,312 m²,3,4
"Tabarja, Kesrouane
                    , Mount Lebanon","$5,500,000",Land,643 m²,N/A,N/A
"Baabdat, El Metn
                    , Mount Lebanon","$200,000",Apartment,140 m²,3,3
"Tabarja, Kesrouane
                    , Mount Lebanon","$9,500,000",Land,385 m²,N/A,N/A
"Zikrit, El Metn
                    , Mount Lebanon","$117,000",Apartment,100 m²,2,2
"Zikrit, El Metn
                    , Mount Lebanon","$162,000",Apartment,130 m²,3,2
"Bolonia, El Metn
                    , Mount Lebanon","$750,000",Land,400 m²,N/A,N/A
"Zaarour, El Metn
                    , Mount Lebanon","$280,000",Apartment,137 m²,2,3
"Fanar, El Metn
                    , Mount Lebanon","$500,000",Apartment,300 m²,3,5
"Mtayleb, El Metn
                    , Mount Lebanon","$700,000",Apartment,235 m²,3,4
"Baabdat, El Metn
                    , Mount Lebanon","$1,300,000",Apartment,100 m²,10,8
"Achrafieh, Beirut
                    , Beirut","$600,000",Apartment,195 m²,3,2
"Baabda, Baabda
                    , Mount Lebanon","$1,800,000",Land,120 m²,N/A,N/A
"Paris 16ème, Paris 16ème
                    , France","€368,500",Apartment,30 m²,1,N/A
"Paris 16ème, Paris 16ème
                    , France","€225,000",Apartment,19 m²,1,N/A
"Paris 16ème, Paris 16ème
                    , France","€419,000",Apartment,32 m²,1,1
"Paris 16ème, Paris 16ème
                    , France","€480,000",Apartment,29 m²,1,1
"Paris 16ème, Paris 16ème
                    , France","€399,000",Apartment,31 m²,1,N/A
"Mansourieh, El Metn
                    , Mount Lebanon","$175,000",Apartment,100 m²,2,2
"Achrafieh, Beirut
                    , Beirut","$975,000",Apartment,260 m²,3,4
"Achrafieh, Beirut
                    , Beirut","$530,000",Apartment,170 m²,2,3
"Achrafieh, Beirut
                    , Beirut","$480,000",Apartment,155 m²,2,3
"Achrafieh, Beirut
                    , Beirut","$320,000",Apartment,75 m²,1,1
"Fakra, Kesrouane
                    , Mount Lebanon","$750,000",Land,600 m²,N/A,N/A
"Kfarzebian, Kesrouane
                    , Mount Lebanon","$550,000",Land,095 m²,N/A,N/A
"Aamchit, Jbeil
                    , Mount Lebanon","$280,000",Apartment,240 m²,3,3
"Antelias, El Metn
                    , Mount Lebanon","$165,000",Apartment,165 m²,3,2
"Jal el Dib, El Metn
                    , Mount Lebanon","$650,000",Apartment,350 m²,5,5
"Adma, Kesrouane
                    , Mount Lebanon","$580,000",Apartment,260 m²,3,3
"Adma, Kesrouane
                    , Mount Lebanon","$600,000",Apartment,325 m²,3,3
"Ras Beirut, Beirut
                    , Beirut","$1,700,000",Apartment,420 m²,3,4
"Sioufi, Beirut
                    , Beirut","$935,000",Apartment,240 m²,3,4
"Zouk Mikael, Kesrouane
                    , Mount Lebanon","$210,000",Apartment,155 m²,3,3
"Ras Beirut, Beirut
                    , Beirut","$1,500,000",Apartment,400 m²,4,3
"Beit Meri, El Metn
                    , Mount Lebanon","$215,000",Apartment,130 m²,2,4
"Ain El Rihani, Kesrouane
                    , Mount Lebanon","$270,000",Land,077 m²,N/A,N/A
"Ain El Rihani, Kesrouane
                    , Mount Lebanon","$300,000",Land,178 m²,N/A,N/A
"Kfar Aabida, Batroun
                    , North","$165,000",Apartment,160 m²,3,3
"Broumana, El Metn
                    , Mount Lebanon","$220,000",Apartment,190 m²,3,3
"Baabdat, El Metn
                    , Mount Lebanon","$149,000",Apartment,140 m²,3,2
"Baabda, Baabda
                    , Mount Lebanon","$1,600,000",Land,297 m²,N/A,N/A
"Gherfine, Jbeil
                    , Mount Lebanon","$235,000",Apartment,350 m²,3,3
"Gherfine, Jbeil
                    , Mount Lebanon","$117,000",Apartment,130 m²,3,3
"Gherfine, Jbeil
                    , Mount Lebanon","$225,000",Apartment,175 m²,3,3
"Achrafieh, Beirut
                    , Beirut","$500,000",Apartment,300 m²,3,2
